COUNTY,DEMOCRAT,REPUBLICAN,OTHER,winner,county_fips
ACCOMACK,0.43,0.56,0.01,0,51001
ALBEMARLE,0.66,0.32,0.01,1,51003
ALEXANDRIA,0.78,0.2,0.02,1,51510
ALLEGHANY,0.26,0.74,0.01,0,51005
AMELIA,0.28,0.72,0.01,0,51007
AMHERST,0.31,0.68,0.01,0,51009
APPOMATTOX,0.24,0.75,0.01,0,51011
ARLINGTON,0.78,0.2,0.02,1,51013
AUGUSTA,0.26,0.73,0.01,0,51015
BATH,0.23,0.77,0.01,0,51017
BEDFORD,0.24,0.75,0.01,0,51019
BLAND,0.15,0.85,0.01,0,51021
BOTETOURT,0.27,0.72,0.01,0,51023
BRISTOL,0.3,0.7,0.01,0,51520
BRUNSWICK,0.54,0.46,0,1,51025
BUCHANAN,0.15,0.85,0,0,51027
BUCKINGHAM,0.38,0.61,0.01,0,51029
BUENA VISTA,0.27,0.71,0.02,0,51530
CAMPBELL,0.25,0.74,0.01,0,51031
CAROLINE,0.45,0.54,0.01,0,51033
CARROLL,0.18,0.81,0.01,0,51035
CHARLES,0.55,0.44,0.01,1,51036
CHARLOTTE,0.33,0.66,0.01,0,51037
CHARLOTTESVILLE,0.83,0.15,0.02,1,51540
CHESAPEAKE,0.51,0.48,0.01,1,51550
CHESTERFIELD,0.54,0.45,0.01,1,51041
CLARKE,0.41,0.58,0.02,0,51043
COLONIAL HEIGHTS,0.33,0.66,0.01,0,51570
COVINGTON,0.33,0.66,0.01,0,51580
CRAIG,0.17,0.82,0.01,0,51045
CULPEPER,0.37,0.62,0.01,0,51047
CUMBERLAND,0.39,0.61,0.01,0,51049
DANVILLE,0.6,0.39,0.01,1,51590
DICKENSON,0.19,0.81,0,0,51051
DINWIDDIE,0.38,0.61,0.01,0,51053
EMPORIA,0.65,0.34,0.01,1,51595
ESSEX,0.46,0.54,0.01,0,51057
FAIRFAX,0.66,0.31,0.03,1,51059
FAIRFAX,0.65,0.32,0.03,1,51600
FALLS CHURCH,0.8,0.18,0.02,1,51610
FAUQUIER,0.39,0.6,0.01,0,51061
FLOYD,0.31,0.68,0.01,0,51063
FLUVANNA,0.46,0.53,0.01,0,51065
FRANKLIN,0.27,0.72,0.01,0,51067
FRANKLIN,0.61,0.38,0.01,1,51620
FREDERICK,0.35,0.64,0.01,0,51069
FREDERICKSBURG,0.65,0.33,0.02,1,51630
GALAX,0.28,0.72,0.01,0,51640
GILES,0.22,0.77,0.01,0,51071
GLOUCESTER,0.3,0.69,0.01,0,51073
GOOCHLAND,0.4,0.59,0.01,0,51075
GRAYSON,0.19,0.81,0.01,0,51077
GREENE,0.37,0.62,0.01,0,51079
GREENSVILLE,0.54,0.45,0.01,1,51081
HALIFAX,0.39,0.6,0.01,0,51083
HAMPTON,0.69,0.29,0.01,1,51650
HANOVER,0.37,0.62,0.01,0,51085
HARRISONBURG,0.62,0.36,0.02,1,51660
HENRICO,0.64,0.35,0.02,1,51087
HENRY,0.33,0.66,0.01,0,51089
HIGHLAND,0.27,0.72,0.01,0,51091
HOPEWELL,0.56,0.43,0.01,1,51670
ISLE OF WIGHT,0.4,0.59,0.01,0,51093
JAMES,0.53,0.46,0.01,1,51095
KING GEORGE,0.37,0.62,0.01,0,51097
KING WILLIAM,0.29,0.7,0.01,0,51099
KING AND QUEEN,0.37,0.63,0.01,0,51101
LANCASTER,0.46,0.53,0.01,0,51103
LEE,0.14,0.86,0,0,51105
LEXINGTON,0.63,0.36,0.01,1,51678
LOUDOUN,0.57,0.4,0.03,1,51107
LOUISA,0.37,0.63,0.01,0,51109
LUNENBURG,0.38,0.61,0.01,0,51111
LYNCHBURG,0.45,0.53,0.01,0,51680
MADISON,0.32,0.67,0.01,0,51113
MANASSAS PARK,0.59,0.39,0.03,1,51683
MANASSAS,0.57,0.42,0.02,1,51685
MARTINSVILLE,0.61,0.38,0.01,1,51690
MATHEWS,0.3,0.69,0.01,0,51115
MECKLENBURG,0.39,0.6,0,0,51117
MIDDLESEX,0.36,0.63,0.01,0,51119
MONTGOMERY,0.51,0.47,0.02,1,51121
NELSON,0.46,0.53,0.01,0,51125
NEW KENT,0.34,0.66,0.01,0,51127
NEWPORT NEWS,0.64,0.35,0.01,1,51700
NORFOLK,0.7,0.29,0.02,1,51710
NORTHAMPTON,0.53,0.47,0.01,1,51131
NORTHUMBERLAND,0.39,0.6,0.01,0,51133
NORTON,0.28,0.72,0.01,0,51720
NOTTOWAY,0.39,0.61,0.01,0,51135
ORANGE,0.37,0.62,0.01,0,51137
PAGE,0.23,0.77,0.01,0,51139
PATRICK,0.19,0.8,0.01,0,51141
PETERSBURG,0.86,0.13,0.01,1,51730
PITTSYLVANIA,0.28,0.71,0.01,0,51143
POQUOSON,0.26,0.72,0.01,0,51735
PORTSMOUTH,0.69,0.3,0.01,1,51740
POWHATAN,0.28,0.72,0.01,0,51145
PRINCE EDWARD,0.48,0.51,0.01,0,51147
PRINCE GEORGE,0.39,0.6,0.01,0,51149
PRINCE WILLIAM,0.58,0.4,0.03,1,51153
PULASKI,0.27,0.72,0.01,0,51155
RADFORD,0.49,0.49,0.02,0,51750
RAPPAHANNOCK,0.41,0.58,0.01,0,51157
RICHMOND,0.35,0.65,0.01,0,51159
RICHMOND,0.82,0.16,0.02,1,51760
ROANOKE,0.38,0.61,0.01,0,51161
ROANOKE,0.61,0.38,0.01,1,51770
ROCKBRIDGE,0.33,0.66,0.01,0,51163
ROCKINGHAM,0.31,0.68,0.01,0,51165
RUSSELL,0.16,0.84,0,0,51167
SALEM,0.4,0.59,0.01,0,51775
SCOTT,0.15,0.85,0.01,0,51169
SHENANDOAH,0.28,0.71,0.01,0,51171
SMYTH,0.19,0.8,0.01,0,51173
SOUTHAMPTON,0.37,0.62,0.01,0,51175
SPOTSYLVANIA,0.45,0.54,0.01,0,51177
STAFFORD,0.5,0.49,0.02,1,51179
STAUNTON,0.56,0.43,0.01,1,51790
SUFFOLK,0.57,0.41,0.01,1,51800
SURRY,0.49,0.5,0.01,0,51181
SUSSEX,0.52,0.48,0.01,1,51183
TAZEWELL,0.15,0.84,0.01,0,51185
VIRGINIA BEACH,0.51,0.48,0.01,1,51810
WARREN,0.31,0.68,0.01,0,51187
WASHINGTON,0.23,0.76,0.01,0,51191
WAYNESBORO,0.47,0.52,0.01,0,51820
WESTMORELAND,0.42,0.57,0.01,0,51193
WILLIAMSBURG,0.72,0.27,0.02,1,51830
WINCHESTER,0.54,0.44,0.01,1,51840
WISE,0.18,0.81,0.01,0,51195
WYTHE,0.2,0.8,0.01,0,51197
YORK,0.46,0.52,0.01,0,51199
