COUNTY,DEMOCRAT,REPUBLICAN,OTHER,_LOWER
ACCOMACK,0.43,0.56,0.01,Accomack
ALBEMARLE,0.66,0.32,0.01,Albemarle
ALEXANDRIA,0.78,0.20,0.02,Alexandria
ALLEGHANY,0.26,0.74,0.01,Alleghany
AMELIA,0.28,0.72,0.01,Amelia
AMHERST,0.31,0.68,0.01,Amherst
APPOMATTOX ,0.24,0.75,0.01,Appomattox 
ARLINGTON ,0.78,0.20,0.02,Arlington 
AUGUSTA ,0.26,0.73,0.01,Augusta 
BATH ,0.23,0.77,0.01,Bath 
BEDFORD ,0.24,0.75,0.01,Bedford 
BLAND ,0.15,0.85,0.01,Bland 
BOTETOURT ,0.27,0.72,0.01,Botetourt 
BRISTOL ,0.30,0.70,0.01,Bristol 
BRUNSWICK ,0.54,0.46,0.00,Brunswick 
BUCHANAN ,0.15,0.85,0.00,Buchanan 
BUCKINGHAM ,0.38,0.61,0.01,Buckingham 
BUENA VISTA ,0.27,0.71,0.02,Buena Vista 
CAMPBELL ,0.25,0.74,0.01,Campbell 
CAROLINE ,0.45,0.54,0.01,Caroline 
CARROLL ,0.18,0.81,0.01,Carroll 
CHARLES  ,0.55,0.44,0.01,Charles  
CHARLOTTE ,0.33,0.66,0.01,Charlotte 
CHARLOTTESVILLE ,0.83,0.15,0.02,Charlottesville 
CHESAPEAKE ,0.51,0.48,0.01,Chesapeake 
CHESTERFIELD ,0.54,0.45,0.01,Chesterfield 
CLARKE ,0.41,0.58,0.02,Clarke 
COLONIAL HEIGHTS ,0.33,0.66,0.01,Colonial Heights 
COVINGTON ,0.33,0.66,0.01,Covington 
CRAIG ,0.17,0.82,0.01,Craig 
CULPEPER ,0.37,0.62,0.01,Culpeper 
CUMBERLAND ,0.39,0.61,0.01,Cumberland 
DANVILLE ,0.60,0.39,0.01,Danville 
DICKENSON ,0.19,0.81,0.00,Dickenson 
DINWIDDIE ,0.38,0.61,0.01,Dinwiddie 
EMPORIA ,0.65,0.34,0.01,Emporia 
ESSEX ,0.46,0.54,0.01,Essex 
FAIRFAX ,0.66,0.31,0.03,Fairfax 
FAIRFAX ,0.65,0.32,0.03,Fairfax 
FALLS CHURCH ,0.80,0.18,0.02,Falls Church 
FAUQUIER ,0.39,0.60,0.01,Fauquier 
FLOYD ,0.31,0.68,0.01,Floyd 
FLUVANNA ,0.46,0.53,0.01,Fluvanna 
FRANKLIN ,0.27,0.72,0.01,Franklin 
FRANKLIN ,0.61,0.38,0.01,Franklin 
FREDERICK ,0.35,0.64,0.01,Frederick 
FREDERICKSBURG ,0.65,0.33,0.02,Fredericksburg 
GALAX ,0.28,0.72,0.01,Galax 
GILES ,0.22,0.77,0.01,Giles 
GLOUCESTER ,0.30,0.69,0.01,Gloucester 
GOOCHLAND ,0.40,0.59,0.01,Goochland 
GRAYSON ,0.19,0.81,0.01,Grayson 
GREENE ,0.37,0.62,0.01,Greene 
GREENSVILLE ,0.54,0.45,0.01,Greensville 
HALIFAX ,0.39,0.60,0.01,Halifax 
HAMPTON ,0.69,0.29,0.01,Hampton 
HANOVER ,0.37,0.62,0.01,Hanover 
HARRISONBURG ,0.62,0.36,0.02,Harrisonburg 
HENRICO ,0.64,0.35,0.02,Henrico 
HENRY ,0.33,0.66,0.01,Henry 
HIGHLAND ,0.27,0.72,0.01,Highland 
HOPEWELL ,0.56,0.43,0.01,Hopewell 
ISLE OF WIGHT ,0.40,0.59,0.01,Isle Of Wight 
